,Atual,2023,2022,2021,2020,2019,acao
GIRO ATIVOS,"1,34","1,34","1,26","1,08","1,28","1,51",bauh4
ROE,"16,83%","16,83%","-1,56%","4,50%","25,52%","38,82%",bauh4
ROIC,"4,99%","4,99%","-1,34%","-0,76%","19,17%","12,67%",bauh4
ROA,"10,65%","10,65%","-0,94%","4,32%","15,74%","23,00%",bauh4
DÍVIDA LÍQUIDA / EBITDA,"-1,30","-1,30","-0,27","-1,33","-0,87","-1,70",bauh4
DÍVIDA LÍQUIDA / EBIT,"-1,96","-1,96","-0,44","-4,76","-1,02","-1,97",bauh4
DÍVIDA BRUTA / PATRIMÔNIO,"0,06","0,06","0,11","0,00","0,00","0,000223",bauh4
PATRIMÔNIO / ATIVOS,"0,63","0,63","0,60","0,61","0,62","0,59",bauh4
PASSIVOS / ATIVOS,"0,37","0,37","0,40","0,39","0,38","0,41",bauh4
LIQUIDEZ CORRENTE,"1,20","1,20","1,21","0,79","1,20","1,46",bauh4
CAGR RECEITAS 5 ANOS,"3,96%","5,05%","3,33%","5,51%","10,90%","8,51%",bauh4
CAGR LUCROS 5 ANOS,"-8,69%","11,95%",-%,"-1,89%","33,53%","23,91%",bauh4
P/L,"12,07","10,70","15,00","29,50","9,66","11,79",enmt3
P/RECEITA (PSR),"2,20","1,95","2,50","2,42","1,28","1,42",enmt3
P/VP,"4,42","3,92","5,76","6,16","2,35","3,16",enmt3
DIVIDEND YIELD (DY),"4,37%","5,27%","4,34%","6,77%","0,00%","3,54%",enmt3
PAYOUT,"44,74%","48,39%","65,09%","138,91%","12,01%","41,76%",enmt3
MARGEM LÍQUIDA,"18,23%","18,23%","16,70%","8,21%","13,30%","12,04%",enmt3
MARGEM BRUTA,"34,14%","34,14%","31,44%","27,78%","22,44%","22,14%",enmt3
MARGEM EBIT,"28,55%","28,55%","26,34%","22,97%","18,28%","17,39%",enmt3
MARGEM EBITDA,"32,23%","32,23%","29,73%","26,14%","23,03%","17,08%",enmt3
EV/EBITDA,"8,88","7,91","10,44","11,40","8,19","12,58",enmt3
EV/EBIT,"10,03","8,93","11,78","12,97","10,32","12,36",enmt3
P/EBITDA,"6,82","6,05","8,42","9,26","5,58","8,31",enmt3
P/EBIT,"7,70","6,83","9,51","10,54","7,03","8,17",enmt3
P/ATIVO,"1,28","1,13","1,51","1,57","0,69","0,91",enmt3
P/CAP.GIRO,"28,17","24,98","61,11","28,97","5,79","-3,79",enmt3
P/ATIVO CIRC LIQ,"-1,77","-1,57","-2,03","-2,19","-1,13","-1,25",enmt3
VPA,"17,18","17,18","14,16","13,14","12,70","10,13",enmt3
LPA,"6,30","6,30","5,44","2,75","3,10","2,71",enmt3
GIRO ATIVOS,"0,58","0,58","0,60","0,65","0,54","0,64",enmt3
ROE,"36,67%","36,67%","38,42%","20,90%","24,38%","26,78%",enmt3
ROIC,"20,40%","20,40%","20,73%","19,48%","10,69%","12,53%",enmt3
ROA,"10,60%","10,60%","10,08%","10,04%","7,16%","7,68%",enmt3
DÍVIDA LÍQUIDA / EBITDA,"1,82","1,82","1,99","2,17","2,24","4,13",enmt3
DÍVIDA LÍQUIDA / EBIT,"2,06","2,06","2,24","2,47","2,82","4,06",enmt3
DÍVIDA BRUTA / PATRIMÔNIO,"1,43","1,43","1,60","1,56","1,61","1,71",enmt3
PATRIMÔNIO / ATIVOS,"0,29","0,29","0,26","0,25","0,29","0,29",enmt3
PASSIVOS / ATIVOS,"0,71","0,71","0,74","0,75","0,71","1,03",enmt3
LIQUIDEZ CORRENTE,"1,20","1,20","1,11","1,24","1,45","0,54",enmt3
CAGR RECEITAS 5 ANOS,"8,93%","11,58%","13,11%","17,06%","7,91%","13,34%",enmt3
CAGR LUCROS 5 ANOS,"18,34%","26,43%","201,59%","56,64%","71,84%","41,49%",enmt3
P/L,"10,91","7,69","4,39","0,00","188,31","0,00",cali3
P/RECEITA (PSR),"1,10","0,78","0,21","0,00","12,16","0,00",cali3
P/VP,"3,40","2,40","1,30","0,00","110,70","0,00",cali3
DIVIDEND YIELD (DY),"1,57%","2,23%","52,30%","0,00%","0,00%","0,00%",cali3
PAYOUT,"17,18%","17,18%","229,76%","0,00%","0,00%","0,00%",cali3
MARGEM LÍQUIDA,"10,11%","10,11%","4,69%","10,23%","6,46%","-604,95%",cali3
MARGEM BRUTA,"34,25%","34,25%","23,54%","35,12%","18,39%","-72,98%",cali3
MARGEM EBIT,"18,18%","18,18%","11,82%","18,85%","12,72%","-628,25%",cali3
MARGEM EBITDA,"18,92%","18,92%","11,92%","18,85%","13,62%","-621,63%",cali3
EV/EBITDA,"7,88","6,16","5,79","6,35","97,71","-0,03",cali3
EV/EBIT,"8,20","6,41","5,84","6,35","104,62","-0,03",cali3
P/EBITDA,"5,83","4,11","1,73","0,00","89,32","0,00",cali3
P/EBIT,"6,07","4,28","1,74","0,00","95,63","0,00",cali3
P/ATIVO,"0,48","0,34","0,14","0,00","2,93","0,00",cali3
P/CAP.GIRO,"75,05","52,89","0,67","0,00","9,66","0,00",cali3
P/ATIVO CIRC LIQ,"-0,58","-0,41","-0,28","0,00","-5,84","0,00",cali3
VPA,"8,34","8,34","6,36","2,46","0,89","0,37",cali3
LPA,"2,60","2,60","1,88","2,01","0,52","-6,63",cali3
GIRO ATIVOS,"0,44","0,44","0,66","0,38","0,24","0,05",cali3
ROE,"31,19%","31,19%","29,58%","81,55%","58,79%","-1.813,97%",cali3
ROIC,"19,42%","19,42%","13,16%","13,06%","8,37%","-1.215,07%",cali3
ROA,"4,43%","4,43%","3,08%","3,90%","1,56%","-30,89%",cali3
DÍVIDA LÍQUIDA / EBITDA,"2,05","2,05","4,06","6,35","8,39","-0,03",cali3
DÍVIDA LÍQUIDA / EBIT,"2,13","2,13","4,10","6,35","8,98","-0,03",cali3
DÍVIDA BRUTA / PATRIMÔNIO,"1,44","1,44","4,16","9,53","10,40","0,55",cali3
PATRIMÔNIO / ATIVOS,"0,14","0,14","0,10","0,05","0,03","0,02",cali3
PASSIVOS / ATIVOS,"0,86","0,86","0,90","0,95","0,97","1,56",cali3
LIQUIDEZ CORRENTE,"1,04","1,04","1,65","1,99","2,56","0,77",cali3
CAGR RECEITAS 5 ANOS,"87,98%","69,63%","65,29%","21,88%","-7,97%","-38,14%",cali3
CAGR LUCROS 5 ANOS,-,"31,20%","8,70%","12,15%","-33,20%",-%,cali3
P/L,"4,51","4,47","5,47","7,71","11,44","18,69",ealt3
P/RECEITA (PSR),"0,45","0,45","0,41","0,72","1,15","1,05",ealt3
P/VP,"0,91","0,91","0,94","1,49","1,57","1,94",ealt3
DIVIDEND YIELD (DY),"5,86%","5,91%","3,03%","2,24%","0,56%","0,91%",ealt3
PAYOUT,"17,36%","17,36%","17,52%","19,42%","7,07%","11,93%",ealt3
MARGEM LÍQUIDA,"9,95%","9,95%","7,52%","9,40%","10,02%","5,63%",ealt3
MARGEM BRUTA,"23,76%","23,76%","22,67%","23,96%","25,31%","21,62%",ealt3
MARGEM EBIT,"11,11%","11,11%","11,91%","11,51%","12,71%","9,04%",ealt3
MARGEM EBITDA,"15,30%","15,30%","15,40%","14,86%","16,99%","12,45%",ealt3
EV/EBITDA,"4,45","4,31","3,78","6,07","6,62","8,26",ealt3
EV/EBIT,"6,13","5,94","4,90","7,83","8,85","11,37",ealt3
P/EBITDA,"2,93","2,91","2,67","4,88","6,75","8,46",ealt3
P/EBIT,"4,04","4,01","3,46","6,30","9,02","11,64",ealt3
P/ATIVO,"0,40","0,39","0,39","0,57","0,69","0,85",ealt3
P/CAP.GIRO,"10,75","10,66","-151,23","8,58","10,18","30,24",ealt3
P/ATIVO CIRC LIQ,"-0,65","-0,65","-0,61","-0,99","-1,14","-1,32",ealt3
VPA,"10,83","10,83","9,56","8,34","8,16","7,23",ealt3
LPA,"2,19","2,19","1,64","1,61","1,12","0,75",ealt3
GIRO ATIVOS,"0,88","0,88","0,96","0,79","0,60","0,81",ealt3
ROE,"20,25%","20,25%","17,20%","19,35%","13,74%","10,35%",ealt3
ROIC,"13,40%","13,40%","15,27%","12,48%","9,67%","9,77%",ealt3
ROA,"8,80%","8,80%","7,21%","7,39%","6,05%","4,57%",ealt3
DÍVIDA LÍQUIDA / EBITDA,"1,48","1,48","1,50","2,27","2,18","2,35",ealt3
DÍVIDA LÍQUIDA / EBIT,"2,04","2,04","1,94","2,93","2,92","3,24",ealt3
DÍVIDA BRUTA / PATRIMÔNIO,"0,52","0,52","0,59","0,69","0,51","0,54",ealt3
PATRIMÔNIO / ATIVOS,"0,43","0,43","0,42","0,38","0,44","0,44",ealt3
PASSIVOS / ATIVOS,"0,57","0,57","0,58","2,98","0,56","0,56",ealt3
LIQUIDEZ CORRENTE,"1,10","1,10","0,99","1,19","1,21","1,09",ealt3
CAGR RECEITAS 5 ANOS,"10,62%","14,94%","23,92%","26,85%","11,42%","11,80%",ealt3
CAGR LUCROS 5 ANOS,"23,96%","32,12%","3,84%",-%,"190,50%","20,01%",ealt3
P/L,"43,38","39,90","7,65","17,50","14,97","16,57",rpad6
P/RECEITA (PSR),-,-,-,-,"5.238,08","2.419,49",rpad6
P/VP,"0,66","0,61","0,48","0,33","0,49","0,68",rpad6
DIVIDEND YIELD (DY),-,"0,00%","0,01%","0,00%","0,01%","0,00%",rpad6
PAYOUT,-,"0,00%","0,08%","0,26%","0,00%","0,00%",rpad6
MARGEM LÍQUIDA,-,"0,00%","0,00%","0,00%","35.000,00%","14.600,00%",rpad6
MARGEM BRUTA,-,"0,00%","0,00%","0,00%","94,85%","95,00%",rpad6
MARGEM EBIT,-,"0,00%","0,00%","0,00%","34.979,38%","14.450,00%",rpad6
MARGEM EBITDA,-,"0,00%","0,00%","0,00%","15.494,85%","0,00%",rpad6
EV/EBITDA,"72,44","67,31","8,11","22,41","35,26",-,rpad6
EV/EBIT,"72,44","67,31","8,11","22,42","15,62","14,36",rpad6
P/EBITDA,"79,42","73,05","8,44","18,82","33,81",-,rpad6
P/EBIT,"79,42","73,05","8,44","18,83","14,97","16,74",rpad6
P/ATIVO,"0,66","0,60","0,47","0,32","0,49","0,68",rpad6
P/CAP.GIRO,"14,17","13,03","8,78","5,58","40,17","-313,64",rpad6
P/ATIVO CIRC LIQ,"-0,70","-0,64","-0,50","-0,35","-0,50","-0,68",rpad6
VPA,"12,79","12,79","12,60","12,27","12,14","11,74",rpad6
LPA,"0,20","0,20","0,78","0,23","0,40","0,48",rpad6
GIRO ATIVOS,-,"0,00","0,00","0,00","0,000093","0,000279",rpad6
ROE,"1,53%","1,53%","6,22%","1,86%","3,30%","4,11%",rpad6
ROIC,"0,79%","0,79%","5,49%","1,73%","3,30%","4,07%",rpad6
ROA,"1,51%","1,51%","6,16%","1,85%","3,27%","4,08%",rpad6
DÍVIDA LÍQUIDA / EBITDA,"-6,69","-6,69","-1,10","-3,91","-1,41",-,rpad6
DÍVIDA LÍQUIDA / EBIT,"-6,69","-6,69","-1,10","-3,91","-0,62","-0,11",rpad6
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,00","0,00","0,00","0,00","0,00",rpad6
PATRIMÔNIO / ATIVOS,"0,99","0,99","0,99","0,99","0,99","0,99",rpad6
PASSIVOS / ATIVOS,"0,01","0,01","0,01","0,009355","0,009356","0,009271",rpad6
LIQUIDEZ CORRENTE,"5,30","5,30","5,93","7,26","2,32","0,76",rpad6
CAGR RECEITAS 5 ANOS,"-100,00%",-%,-%,-%,-%,-%,rpad6
CAGR LUCROS 5 ANOS,"-16,54%",-%,-%,-%,-%,-%,rpad6
P/L,"-13,23","-12,67","-203,12","-26,94","342,28","-4,63",dtcy3
P/RECEITA (PSR),"8,26","7,91","5,69","8,77","4,96","4,33",dtcy3
P/VP,"-13,09","-12,53","-1.391,39","365,39","16,27","10,80",dtcy3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",dtcy3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",dtcy3
MARGEM LÍQUIDA,"-62,46%","-62,46%","-2,80%","-32,57%","1,45%","-93,40%",dtcy3
MARGEM BRUTA,"-9,41%","-9,41%","23,26%","22,44%","30,06%","3,09%",dtcy3
MARGEM EBIT,"-53,41%","-53,41%","-9,38%","-50,00%","7,36%","-67,17%",dtcy3
MARGEM EBITDA,"-21,56%","-21,56%","-6,85%","2,61%","32,73%","-41,54%",dtcy3
EV/EBITDA,"-74,28","-36,07","-155,46","525,00","23,64","-10,06",dtcy3
EV/EBIT,"-29,98","-14,56","-113,59","-27,40","105,07","-6,22",dtcy3
P/EBITDA,"-38,33","-36,70","-83,07","336,16","15,15","-10,42",dtcy3
P/EBIT,"-15,47","-14,81","-60,69","-17,54","67,33","-6,44",dtcy3
P/ATIVO,"8,81","8,44","4,81","5,55","3,21","1,74",dtcy3
P/CAP.GIRO,"-28,84","-27,61","-48,69","-21,83","-15,98","-5,95",dtcy3
P/ATIVO CIRC LIQ,"-14,63","-14,00","-8,19","-8,08","-4,38","-2,19",dtcy3
VPA,"-0,36","-0,36","-0,00","0,02","0,45","0,42",dtcy3
LPA,"-0,36","-0,36","-0,02","-0,28","0,02","-0,98",dtcy3
GIRO ATIVOS,"1,07","1,07","0,85","0,63","0,65","0,40",dtcy3
ROE,"-98,95%","-98,95%","-685,00%","-1.356,52%","4,75%","-233,05%",dtcy3
ROIC,"175,23%","175,23%","-76,80%","-241,92%","15,37%","-104,13%",dtcy3
ROA,"-66,64%","-66,64%","-2,37%","-31,75%","0,94%","-37,64%",dtcy3
DÍVIDA LÍQUIDA / EBITDA,"-0,86","-0,86","-1,09","2,36","-0,12","-0,07",dtcy3
DÍVIDA LÍQUIDA / EBIT,"-0,35","-0,35","-0,80","-0,12","-0,54","-0,04",dtcy3
DÍVIDA BRUTA / PATRIMÔNIO,"-0,52","-0,52","-30,85","7,61","0,57","0,61",dtcy3
PATRIMÔNIO / ATIVOS,"-0,67","-0,67","-0,00","0,02","0,20","0,16",dtcy3
PASSIVOS / ATIVOS,"1,67","1,67","1,00","0,99","0,80","0,84",dtcy3
LIQUIDEZ CORRENTE,"0,57","0,57","0,81","0,55","0,57","0,41",dtcy3
CAGR RECEITAS 5 ANOS,"-11,44%","-18,43%","-9,84%","-8,47%","4,02%","-1,40%",dtcy3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,dtcy3
P/L,"70,15","35,81","15,99","57,40","1,58","12,26",peab3
P/RECEITA (PSR),"17,17","8,76","15,21","24,61","4,05","1,38",peab3
P/VP,"1,24","0,63","0,95","1,12","1,30","1,05",peab3
DIVIDEND YIELD (DY),"0,66%","0,88%","3,43%","19,67%","56,35%","8,93%",peab3
PAYOUT,"48,51%","48,51%","84,83%","1.743,73%","137,22%","169,22%",peab3
MARGEM LÍQUIDA,"24,48%","24,48%","95,12%","42,88%","256,85%","11,22%",peab3
MARGEM BRUTA,"77,92%","77,92%","77,62%","61,75%","30,67%","30,74%",peab3
MARGEM EBIT,"2,37%","2,37%","100,44%","562,82%","392,40%","12,03%",peab3
MARGEM EBITDA,"11,93%","11,93%","110,35%","573,86%","396,53%","14,08%",peab3
EV/EBITDA,"133,03","118,86","21,52","5,57","1,48","12,24",peab3
EV/EBIT,"669,23","597,95","23,65","5,67","1,49","14,32",peab3
P/EBITDA,"143,95","73,48","13,78","4,29","1,02","9,78",peab3
P/EBIT,"724,14","369,65","15,14","4,37","1,03","11,44",peab3
P/ATIVO,"0,97","0,49","0,80","0,97","0,83","0,81",peab3
P/CAP.GIRO,"3,72","1,90","2,66","2,43","2,52","2,64",peab3
P/ATIVO CIRC LIQ,"-1,37","-0,70","-1,17","-1,70","-2,24","-1,41",peab3
VPA,"36,28","53,38","53,44","51,50","43,91","41,26",peab3
LPA,"0,64","0,94","3,16","1,00","36,15","3,55",peab3
GIRO ATIVOS,"0,06","0,06","0,05","0,04","0,20","0,59",peab3
ROE,"1,77%","1,77%","5,91%","1,94%","82,34%","8,60%",peab3
ROIC,"-0,40%","-0,40%","4,50%","17,81%","81,43%","-3,77%",peab3
ROA,"1,38%","1,38%","4,98%","1,73%","52,47%","6,60%",peab3
DÍVIDA LÍQUIDA / EBITDA,"-18,22","-18,22","-3,06","-1,49","0,00","-3,05",peab3
DÍVIDA LÍQUIDA / EBIT,"-91,67","-91,67","-3,36","-1,52","0,00","-3,57",peab3
DÍVIDA BRUTA / PATRIMÔNIO,"0,17","0,17","0,08","0,03","0,00","0,00",peab3
PATRIMÔNIO / ATIVOS,"0,78","0,78","0,84","0,87","0,64","0,77",peab3
PASSIVOS / ATIVOS,"0,22","0,22","0,16","0,13","0,36","0,23",peab3
LIQUIDEZ CORRENTE,"8,61","8,61","15,32","16,04","2,08","3,49",peab3
CAGR RECEITAS 5 ANOS,"-34,35%","-33,28%","-34,50%","-37,48%","-8,83%","9,45%",peab3
CAGR LUCROS 5 ANOS,"-23,30%","-19,38%","1,78%","-27,89%","78,07%","26,95%",peab3
P/L,"77,30","55,08","22,80","70,95","1,52","13,81",peab4
P/RECEITA (PSR),"18,92","13,48","21,69","30,42","3,91","1,55",peab4
P/VP,"1,37","0,97","1,35","1,38","1,25","1,19",peab4
DIVIDEND YIELD (DY),"0,66%","0,63%","2,65%","17,50%","64,23%","8,73%",peab4
PAYOUT,"48,51%","48,51%","84,83%","1.743,73%","137,22%","169,22%",peab4
MARGEM LÍQUIDA,"24,48%","24,48%","95,12%","42,88%","256,85%","11,22%",peab4
MARGEM BRUTA,"77,92%","77,92%","77,62%","61,75%","30,67%","30,74%",peab4
MARGEM EBIT,"2,37%","2,37%","100,44%","562,82%","392,40%","12,03%",peab4
MARGEM EBITDA,"11,93%","11,93%","110,35%","573,86%","396,53%","14,08%",peab4
EV/EBITDA,"133,03","118,86","21,52","5,57","1,48","12,24",peab4
EV/EBIT,"669,23","597,95","23,65","5,67","1,49","14,32",peab4
P/EBITDA,"158,63","113,02","19,65","5,30","0,99","11,01",peab4
P/EBIT,"798,00","568,58","21,59","5,41","1,00","12,88",peab4
P/ATIVO,"1,06","0,76","1,14","1,20","0,80","0,91",peab4
P/CAP.GIRO,"4,09","2,92","3,80","3,00","2,44","2,97",peab4
P/ATIVO CIRC LIQ,"-1,51","-1,08","-1,67","-2,10","-2,16","-1,59",peab4
VPA,"36,28","53,38","53,44","51,50","43,91","41,26",peab4
LPA,"0,64","0,94","3,16","1,00","36,15","3,55",peab4
GIRO ATIVOS,"0,06","0,06","0,05","0,04","0,20","0,59",peab4
ROE,"1,77%","1,77%","5,91%","1,94%","82,34%","8,60%",peab4
ROIC,"-0,40%","-0,40%","4,50%","17,81%","81,43%","-3,77%",peab4
ROA,"1,38%","1,38%","4,98%","1,73%","52,47%","6,60%",peab4
DÍVIDA LÍQUIDA / EBITDA,"-18,22","-18,22","-3,06","-1,49","0,00","-3,05",peab4
DÍVIDA LÍQUIDA / EBIT,"-91,67","-91,67","-3,36","-1,52","0,00","-3,57",peab4
DÍVIDA BRUTA / PATRIMÔNIO,"0,17","0,17","0,08","0,03","0,00","0,00",peab4
PATRIMÔNIO / ATIVOS,"0,78","0,78","0,84","0,87","0,64","0,77",peab4
PASSIVOS / ATIVOS,"0,22","0,22","0,16","0,13","0,36","0,23",peab4
LIQUIDEZ CORRENTE,"8,61","8,61","15,32","16,04","2,08","3,49",peab4
CAGR RECEITAS 5 ANOS,"-34,35%","-33,28%","-34,50%","-37,48%","-8,83%","9,45%",peab4
CAGR LUCROS 5 ANOS,"-23,30%","-19,38%","1,78%","-27,89%","78,07%","26,95%",peab4
P/L,"-0,77","-1,55","-6,98","-19,09","-13,94","-6,96",estr4
P/RECEITA (PSR),"0,11","0,21","1,83","3,51","1,58","2,54",estr4
P/VP,"-0,03","-0,06","-0,64","-1,09","-0,44","-0,59",estr4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",estr4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",estr4
MARGEM LÍQUIDA,"-13,58%","-13,58%","-26,26%","-18,36%","-11,32%","-36,44%",estr4
MARGEM BRUTA,"41,79%","41,79%","50,76%","39,51%","50,79%","50,21%",estr4
MARGEM EBIT,"-6,90%","-6,90%","13,21%","9,61%","18,17%","-5,88%",estr4
MARGEM EBITDA,"-6,14%","-6,14%","14,74%","11,61%","20,45%","-2,43%",estr4
EV/EBITDA,"-11,52","-13,86","16,06","30,86","9,17","-87,48",estr4
EV/EBIT,"-10,25","-12,34","17,91","37,29","10,32","-36,05",estr4
P/EBITDA,"-1,71","-3,43","12,44","30,19","7,72","-104,61",estr4
P/EBIT,"-1,52","-3,05","13,88","36,48","8,69","-43,11",estr4
P/ATIVO,"0,06","0,11","1,16","1,87","0,89","1,38",estr4
P/CAP.GIRO,"-0,03","-0,06","-0,60","-1,09","-0,46","-0,61",estr4
P/ATIVO CIRC LIQ,"-0,10","-0,19","-2,43","-4,39","-1,86","-2,38",estr4
VPA,"-65,48","-65,48","-62,79","-61,68","-61,14","-59,20",estr4
LPA,"-2,70","-2,70","-5,73","-3,52","-1,94","-5,06",estr4
GIRO ATIVOS,"0,53","0,53","0,63","0,53","0,57","0,54",estr4
ROE,"-4,12%","-4,12%","-9,13%","-5,71%","-3,17%","-8,54%",estr4
ROIC,"2,48%","2,48%","-5,64%","-2,46%","-5,89%","1,54%",estr4
ROA,"-7,26%","-7,26%","-16,65%","-9,77%","-6,41%","-19,85%",estr4
DÍVIDA LÍQUIDA / EBITDA,"-8,30","-8,30","3,62","4,74","2,12","-17,74",estr4
DÍVIDA LÍQUIDA / EBIT,"-7,39","-7,39","4,03","5,73","2,39","-7,31",estr4
DÍVIDA BRUTA / PATRIMÔNIO,"-0,16","-0,16","-0,19","-0,17","-0,14","-0,11",estr4
PATRIMÔNIO / ATIVOS,"-1,76","-1,76","-1,82","-1,71","-2,02","-2,32",estr4
PASSIVOS / ATIVOS,"2,76","2,76","2,82","2,71","3,02","3,32",estr4
LIQUIDEZ CORRENTE,"0,17","0,17","0,21","0,25","0,21","0,16",estr4
CAGR RECEITAS 5 ANOS,"7,44%","3,49%","4,32%","1,91%","-3,90%","-11,86%",estr4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,estr4
P/L,"8,44","9,47","6,67","4,45","11,39","17,79",unip5
P/RECEITA (PSR),"1,36","1,52","1,22","1,40","1,08","1,01",unip5
P/VP,"2,74","3,08","3,82","3,86","2,43","2,10",unip5
DIVIDEND YIELD (DY),"4,76%","4,49%","14,90%","12,41%","3,08%","0,84%",unip5
PAYOUT,"57,89%","40,67%","96,23%","60,91%","29,74%","12,36%",unip5
MARGEM LÍQUIDA,"16,08%","16,08%","18,24%","31,56%","9,50%","5,69%",unip5
MARGEM BRUTA,"34,66%","34,66%","44,77%","44,57%","34,50%","26,79%",unip5
MARGEM EBIT,"20,00%","20,00%","32,74%","46,82%","19,35%","13,04%",unip5
MARGEM EBITDA,"25,04%","25,04%","36,14%","32,00%","24,47%","19,04%",unip5
EV/EBITDA,"4,93","5,73","3,14","3,59","4,08","5,58",unip5
EV/EBIT,"6,17","7,17","3,47","2,46","5,16","8,14",unip5
P/EBITDA,"5,42","6,08","3,37","4,39","4,43","5,32",unip5
P/EBIT,"6,79","7,61","3,72","3,00","5,60","7,76",unip5
P/ATIVO,"1,04","1,17","1,48","1,41","0,93","0,83",unip5
P/CAP.GIRO,"3,79","4,25","7,99","8,44","6,34","-12,71",unip5
P/ATIVO CIRC LIQ,"-1,98","-2,22","-2,61","-2,59","-1,59","-1,23",unip5
VPA,"23,32","25,65","24,54","26,66","20,09","17,16",unip5
LPA,"7,58","8,34","14,04","23,12","4,28","2,02",unip5
GIRO ATIVOS,"0,77","0,77","1,21","1,01","0,86","0,82",unip5
ROE,"32,51%","32,51%","57,22%","86,72%","21,31%","11,78%",unip5
ROIC,"13,50%","13,50%","44,82%","83,57%","21,22%","14,57%",unip5
ROA,"12,37%","12,37%","22,26%","32,09%","8,21%","4,63%",unip5
DÍVIDA LÍQUIDA / EBITDA,"-0,06","-0,06","-0,01","-0,81","-0,42","0,28",unip5
DÍVIDA LÍQUIDA / EBIT,"-0,08","-0,08","-0,01","-0,55","-0,53","0,41",unip5
DÍVIDA BRUTA / PATRIMÔNIO,"0,85","0,85","0,60","0,000644","0,41","0,46",unip5
PATRIMÔNIO / ATIVOS,"0,38","0,38","0,39","0,37","0,38","0,40",unip5
PASSIVOS / ATIVOS,"0,62","0,62","0,61","0,63","0,61","0,78",unip5
LIQUIDEZ CORRENTE,"2,36","2,36","1,74","1,58","1,54","0,83",unip5
CAGR RECEITAS 5 ANOS,"9,94%","7,14%","19,21%","47,87%","35,12%","31,46%",unip5
CAGR LUCROS 5 ANOS,"35,64%","8,43%","34,54%","48,16%","33,34%","21,32%",unip5
P/L,"1,99","1,69","2,55","-19,00","-7,00","-11,88",aheb6
P/RECEITA (PSR),"0,28","0,24","0,55","2,53","0,78","4,40",aheb6
P/VP,"2,12","1,81","-29,02","-6,22","46,41","18,56",aheb6
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",aheb6
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",aheb6
MARGEM LÍQUIDA,"14,10%","14,10%","21,41%","-13,33%","-11,20%","-37,05%",aheb6
MARGEM BRUTA,"30,40%","30,40%","45,89%","28,13%","26,77%","29,20%",aheb6
MARGEM EBIT,"20,13%","20,13%","27,17%","-24,83%","-5,66%","-39,95%",aheb6
MARGEM EBITDA,"21,18%","21,18%","29,16%","-20,45%","-2,65%","-24,82%",aheb6
EV/EBITDA,"0,84","0,61","1,46","-6,00","-25,38","-9,55",aheb6
EV/EBIT,"0,88","0,64","1,57","-4,94","-11,90","-5,93",aheb6
P/EBITDA,"1,32","1,13","1,87","-12,38","-29,55","-17,73",aheb6
P/EBIT,"1,39","1,19","2,01","-10,20","-13,86","-11,01",aheb6
P/ATIVO,"0,38","0,32","0,50","1,40","0,55","1,92",aheb6
P/CAP.GIRO,"1,43","1,21","8,47","-100,00","-5,24","-3,76",aheb6
P/ATIVO CIRC LIQ,"-0,82","-0,70","-0,77","-2,01","-0,76","-2,29",aheb6
VPA,"9,43","9,43","-0,67","-8,28","0,42","3,19",aheb6
LPA,"10,06","10,06","7,58","-2,71","-2,80","-4,98",aheb6
GIRO ATIVOS,"1,35","1,35","0,91","0,55","0,70","0,44",aheb6
ROE,"106,69%","106,69%","-1.138,73%","-32,75%","-662,88%","-156,32%",aheb6
ROIC,"114,56%","114,56%","-9.915,95%","61,01%","-334,90%","-168,55%",aheb6
ROA,"19,10%","19,10%","19,53%","-23,80%","-7,88%","-16,20%",aheb6
DÍVIDA LÍQUIDA / EBITDA,"-0,42","-0,42","-0,48","0,64","8,98","0,96",aheb6
DÍVIDA LÍQUIDA / EBIT,"-0,44","-0,44","-0,51","0,53","4,21","0,59",aheb6
DÍVIDA BRUTA / PATRIMÔNIO,"0,05","0,05","-0,86","0,00","0,00","0,00",aheb6
PATRIMÔNIO / ATIVOS,"0,18","0,18","-0,02","-0,23","0,01","0,10",aheb6
PASSIVOS / ATIVOS,"0,82","0,82","1,02","1,23","0,99","1,34",aheb6
LIQUIDEZ CORRENTE,"1,99","1,99","1,20","0,96","0,72","0,24",aheb6
CAGR RECEITAS 5 ANOS,"39,63%","50,82%","20,77%","-1,24%","1,88%","-10,10%",aheb6
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,aheb6
P/L,"1,89","1,54","2,64","-10,14","-8,15","-7,00",aheb3
P/RECEITA (PSR),"0,27","0,22","0,57","1,35","0,91","2,60",aheb3
P/VP,"2,02","1,64","-30,06","-3,32","54,01","10,95",aheb3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",aheb3
